dep;semaine;pop;P;T;Ti;Tp;Td;cl_age90
14;2022-S11;691453,00;9124,00;27836,00;1319,54;32,78;4025,73;0
14;2022-S12;691453,00;12785,00;35153,00;1849,00;36,37;5083,93;0
15;2022-S09;142811,00;1052,00;3785,00;736,64;27,79;2650,36;0
15;2022-S10;142811,00;1316,00;4196,00;921,50;31,36;2938,15;0
15;2022-S11;142811,00;2033,00;5320,00;1423,56;38,21;3725,20;0
15;2022-S12;142811,00;2371,00;6190,00;1660,24;38,30;4334,40;0
16;2022-S09;348180,00;2264,00;6905,00;650,24;32,79;1983,17;0
16;2022-S10;348180,00;2765,00;7507,00;794,13;36,83;2156,07;0
16;2022-S11;348180,00;3243,00;8348,00;931,41;38,85;2397,61;0
16;2022-S12;348180,00;3946,00;9471,00;1133,32;41,66;2720,14;0
17;2022-S09;647080,00;4082,00;14217,00;630,83;28,71;2197,10;0
17;2022-S10;647080,00;4782,00;15211,00;739,01;31,44;2350,71;0
17;2022-S11;647080,00;6334,00;17675,00;978,86;35,84;2731,50;0
17;2022-S12;647080,00;7385,00;19958,00;1141,28;37,00;3084,32;0
18;2022-S09;296404,00;1620,00;6320,00;546,55;25,63;2132,22;0
18;2022-S10;296404,00;2055,00;6863,00;693,31;29,94;2315,42;0
18;2022-S11;296404,00;3047,00;8838,00;1027,99;34,48;2981,74;0
18;2022-S12;296404,00;4057,00;10468,00;1368,74;38,76;3531,67;0
19;2022-S09;240336,00;1714,00;5636,00;713,17;30,41;2345,05;0
19;2022-S10;240336,00;2108,00;6377,00;877,11;33,06;2653,37;0
19;2022-S11;240336,00;2568,00;7066,00;1068,50;36,34;2940,05;0
19;2022-S12;240336,00;3060,00;7953,00;1273,22;38,48;3309,12;0
21;2022-S09;532886,00;2389,00;10869,00;448,31;21,98;2039,65;0
21;2022-S10;532886,00;2966,00;11935,00;556,59;24,85;2239,69;0
21;2022-S11;532886,00;4600,00;15433,00;863,22;29,81;2896,12;0
21;2022-S12;532886,00;7008,00;20346,00;1315,10;34,44;3818,08;0
22;2022-S09;596186,00;5145,00;15893,00;862,99;32,37;2665,78;0
22;2022-S10;596186,00;6709,00;18570,00;1125,32;36,13;3114,80;0
22;2022-S11;596186,00;9051,00;22035,00;1518,15;41,08;3695,99;0
22;2022-S12;596186,00;12114,00;26744,00;2031,92;45,30;4485,85;0
23;2022-S09;116270,00;760,00;2614,00;653,65;29,07;2248,22;0
23;2022-S10;116270,00;1007,00;3160,00;866,09;31,87;2717,81;0
23;2022-S11;116270,00;1141,00;3189,00;981,34;35,78;2742,75;0
23;2022-S12;116270,00;1468,00;3737,00;1262,58;39,28;3214,07;0
24;2022-S09;408393,00;2369,00;8308,00;580,08;28,51;2034,31;0
24;2022-S10;408393,00;2652,00;8824,00;649,37;30,05;2160,66;0
24;2022-S11;408393,00;3394,00;10221,00;831,06;33,21;2502,74;0
24;2022-S12;408393,00;4098,00;10995,00;1003,45;37,27;2692,26;0
25;2022-S09;539449,00;2314,00;10569,00;428,96;21,89;1959,22;0
25;2022-S10;539449,00;2825,00;12116,00;523,68;23,32;2246,00;0
25;2022-S11;539449,00;4368,00;15504,00;809,72;28,17;2874,04;0
25;2022-S12;539449,00;6596,00;20307,00;1222,73;32,48;3764,40;0
26;2022-S09;520560,00;2175,00;10182,00;417,82;21,36;1955,97;0
26;2022-S10;520560,00;2292,00;10720,00;440,30;21,38;2059,32;0
26;2022-S11;520560,00;3277,00;12417,00;629,51;26,39;2385,32;0
26;2022-S12;520560,00;5254,00;16155,00;1009,30;32,52;3103,39;0
27;2022-S09;600687,00;2638,00;12187,00;439,16;21,65;2028,84;0
27;2022-S10;600687,00;3580,00;13628,00;595,98;26,27;2268,74;0
27;2022-S11;600687,00;5136,00;16337,00;855,02;31,44;2719,72;0
27;2022-S12;600687,00;7820,00;21273,00;1301,84;36,76;3541,45;0
28;2022-S09;429425,00;1672,00;8029,00;389,36;20,82;1869,71;0
28;2022-S10;429425,00;1966,00;8577,00;457,82;22,92;1997,32;0
28;2022-S11;429425,00;3206,00;10455,00;746,58;30,66;2434,65;0
28;2022-S12;429425,00;5663,00;14677,00;1318,74;38,58;3417,83;0
29;2022-S09;906554,00;8619,00;25449,00;950,74;33,87;2807,22;0
29;2022-S10;906554,00;11432,00;29747,00;1261,04;38,43;3281,33;0
29;2022-S11;906554,00;14330,00;34090,00;1580,71;42,04;3760,39;0
29;2022-S12;906554,00;18055,00;39631,00;1991,61;45,56;4371,61;0
2A;2022-S09;162421,00;756,00;5505,00;465,46;13,73;3389,34;0
2A;2022-S10;162421,00;963,00;5631,00;592,90;17,10;3466,92;0
2A;2022-S11;162421,00;2012,00;7189,00;1238,76;27,99;4426,15;0
2A;2022-S12;162421,00;2864,00;9933,00;1763,32;28,83;6115,59;0
2B;2022-S09;182258,00;910,00;5380,00;499,29;16,91;2951,86;0
2B;2022-S10;182258,00;1278,00;5841,00;701,20;21,88;3204,80;0
2B;2022-S11;182258,00;2259,00;7890,00;1239,45;28,63;4329,03;0
2B;2022-S12;182258,00;3172,00;10478,00;1740,39;30,27;5748,99;0
30;2022-S09;748468,00;3559,00;17869,00;475,50;19,92;2387,41;0
30;2022-S10;748468,00;3968,00;18903,00;530,15;20,99;2525,56;0
30;2022-S11;748468,00;6595,00;24245,00;881,13;27,20;3239,28;0
30;2022-S12;748468,00;10756,00;33548,00;1437,07;32,06;4482,22;0
31;2022-S09;1400935,00;7547,00;34675,00;538,71;21,76;2475,13;0
31;2022-S10;1400935,00;7734,00;34321,00;552,06;22,53;2449,86;0
31;2022-S11;1400935,00;10279,00;39203,00;733,72;26,22;2798,35;0
31;2022-S12;1400935,00;14641,00;49855,00;1045,09;29,37;3558,69;0
32;2022-S09;190040,00;1468,00;4627,00;772,47;31,73;2434,75;0
32;2022-S10;190040,00;1487,00;4780,00;782,47;31,11;2515,26;0
32;2022-S11;190040,00;2007,00;5718,00;1056,09;35,10;3008,84;0
32;2022-S12;190040,00;2561,00;6633,00;1347,61;38,61;3490,32;0
33;2022-S09;1633440,00;10743,00;39968,00;657,69;26,88;2446,86;0
33;2022-S10;1633440,00;12299,00;42401,00;752,95;29,01;2595,81;0
33;2022-S11;1633440,00;16037,00;50714,00;981,79;31,62;3104,74;0
33;2022-S12;1633440,00;18504,00;57614,00;1132,82;32,12;3527,16;0
34;2022-S09;1176145,00;6164,00;31922,00;524,09;19,31;2714,12;0
34;2022-S10;1176145,00;6304,00;32705,00;535,99;19,28;2780,69;0
34;2022-S11;1176145,00;9071,00;37629,00;771,25;24,11;3199,35;0
34;2022-S12;1176145,00;14005,00;50668,00;1190,75;27,64;4307,97;0
35;2022-S09;1082073,00;7754,00;26715,00;716,59;29,02;2468,87;0
35;2022-S10;1082073,00;9925,00;30089,00;917,22;32,99;2780,68;0
35;2022-S11;1082073,00;13436,00;36571,00;1241,69;36,74;3379,72;0
35;2022-S12;1082073,00;19220,00;47579,00;1776,22;40,40;4397,02;0
36;2022-S09;217139,00;1642,00;4946,00;756,20;33,20;2277,80;0
36;2022-S10;217139,00;1881,00;5231,00;866,27;35,96;2409,06;0
36;2022-S11;217139,00;2171,00;5735,00;999,82;37,86;2641,17;0
36;2022-S12;217139,00;2787,00;6958,00;1283,51;40,05;3204,40;0
37;2022-S09;605380,00;3690,00;15400,00;609,53;23,96;2543,86;0
37;2022-S10;605380,00;5502,00;18572,00;908,85;29,63;3067,83;0
37;2022-S11;605380,00;7775,00;23241,00;1284,32;33,45;3839,08;0
37;2022-S12;605380,00;9853,00;26833,00;1627,57;36,72;4432,42;0
38;2022-S09;1264979,00;4604,00;23247,00;363,96;19,80;1837,74;0
38;2022-S10;1264979,00;5600,00;25033,00;442,70;22,37;1978,93;0
38;2022-S11;1264979,00;8365,00;30697,00;661,28;27,25;2426,68;0
38;2022-S12;1264979,00;13689,00;41532,00;1082,15;32,96;3283,22;0
39;2022-S09;257849,00;1200,00;5102,00;465,39;23,52;1978,68;0
39;2022-S10;257849,00;1280,00;5493,00;496,41;23,30;2130,32;0
39;2022-S11;257849,00;2168,00;7094,00;840,80;30,56;2751,22;0
39;2022-S12;257849,00;3207,00;9269,00;1243,75;34,60;3594,74;0
40;2022-S09;411979,00;3514,00;10130,00;852,96;34,69;2458,86;0
40;2022-S10;411979,00;3572,00;10212,00;867,03;34,98;2478,77;0
40;2022-S11;411979,00;4163,00;11247,00;1010,49;37,01;2729,99;0
40;2022-S12;411979,00;4697,00;12247,00;1140,11;38,35;2972,72;0
41;2022-S09;327835,00;1730,00;6844,00;527,70;25,28;2087,64;0
41;2022-S10;327835,00;2093,00;7026,00;638,43;29,79;2143,15;0
41;2022-S11;327835,00;2729,00;8371,00;832,43;32,60;2553,42;0
41;2022-S12;327835,00;4190,00;11152,00;1278,08;37,57;3401,71;0
42;2022-S09;764737,00;2271,00;14703,00;296,96;15,45;1922,62;0
42;2022-S10;764737,00;2277,00;14775,00;297,75;15,41;1932,04;0
42;2022-S11;764737,00;3550,00;16833,00;464,21;21,09;2201,15;0
42;2022-S12;764737,00;5654,00;21714,00;739,34;26,04;2839,41;0
43;2022-S09;226901,00;887,00;4301,00;390,92;20,62;1895,54;0
43;2022-S10;226901,00;927,00;4233,00;408,55;21,90;1865,57;0
43;2022-S11;226901,00;1217,00;4596,00;536,36;26,48;2025,55;0
43;2022-S12;226901,00;2064,00;6489,00;909,65;31,81;2859,84;0
44;2022-S09;1437137,00;7058,00;30434,00;491,12;23,19;2117,68;0
44;2022-S10;1437137,00;9094,00;34780,00;632,79;26,15;2420,09;0
44;2022-S11;1437137,00;12674,00;41633,00;881,89;30,44;2896,94;0
44;2022-S12;1437137,00;19016,00;54569,00;1323,19;34,85;3797,06;0
45;2022-S09;682890,00;2921,00;13180,00;427,74;22,16;1930,03;0
45;2022-S10;682890,00;3781,00;14204,00;553,68;26,62;2079,98;0
45;2022-S11;682890,00;5210,00;16639,00;762,93;31,31;2436,56;0
45;2022-S12;682890,00;8402,00;23058,00;1230,36;36,44;3376,53;0
46;2022-S09;173166,00;1186,00;3654,00;684,89;32,46;2110,11;0
46;2022-S10;173166,00;1269,00;3846,00;732,82;33,00;2220,99;0
46;2022-S11;173166,00;1705,00;4741,00;984,60;35,96;2737,84;0
46;2022-S12;173166,00;2039,00;5213,00;1177,48;39,11;3010,41;0
47;2022-S09;330336,00;2700,00;8656,00;817,35;31,19;2620,36;0
47;2022-S10;330336,00;3102,00;9230,00;939,04;33,61;2794,12;0
47;2022-S11;330336,00;3450,00;9920,00;1044,39;34,78;3003,00;0
47;2022-S12;330336,00;3420,00;9942,00;1035,31;34,40;3009,66;0
48;2022-S09;76286,00;327,00;1376,00;428,65;23,76;1803,74;0
48;2022-S10;76286,00;334,00;1282,00;437,83;26,05;1680,52;0
48;2022-S11;76286,00;630,00;1630,00;825,84;38,65;2136,70;0
48;2022-S12;76286,00;893,00;2154,00;1170,59;41,46;2823,58;0
49;2022-S09;815881,00;4187,00;16729,00;513,19;25,03;2050,42;0
49;2022-S10;815881,00;5360,00;19183,00;656,96;27,94;2351,20;0
49;2022-S11;815881,00;6921,00;21650,00;848,29;31,97;2653,57;0
49;2022-S12;815881,00;9526,00;26706,00;1167,57;35,67;3273,27;0
50;2022-S09;490669,00;4277,00;12172,00;871,67;35,14;2480,69;0
50;2022-S10;490669,00;5197,00;13803,00;1059,17;37,65;2813,10;0
50;2022-S11;490669,00;6682,00;15736,00;1361,81;42,46;3207,05;0
50;2022-S12;490669,00;9391,00;19966,00;1913,92;47,03;4069,14;0
51;2022-S09;563823,00;3294,00;16394,00;584,23;20,09;2907,65;0
51;2022-S10;563823,00;4185,00;18936,00;742,25;22,10;3358,50;0
51;2022-S11;563823,00;5103,00;21180,00;905,07;24,09;3756,50;0
51;2022-S12;563823,00;7744,00;27234,00;1373,48;28,44;4830,24;0
52;2022-S09;169250,00;1032,00;3914,00;609,75;26,37;2312,56;0
52;2022-S10;169250,00;1453,00;4648,00;858,49;31,26;2746,23;0
52;2022-S11;169250,00;1847,00;5769,00;1091,29;32,02;3408,57;0
52;2022-S12;169250,00;2374,00;6598,00;1402,66;35,98;3898,38;0
53;2022-S09;305365,00;1882,00;6258,00;616,31;30,07;2049,35;0
53;2022-S10;305365,00;2204,00;6950,00;721,76;31,71;2275,96;0
53;2022-S11;305365,00;3298,00;8735,00;1080,02;37,76;2860,51;0
53;2022-S12;305365,00;4584,00;10512,00;1501,15;43,61;3442,44;0
54;2022-S09;730398,00;6938,00;26592,00;949,89;26,09;3640,75;0
54;2022-S10;730398,00;8263,00;29462,00;1131,30;28,05;4033,69;0
54;2022-S11;730398,00;10129,00;34613,00;1386,78;29,26;4738,92;0
54;2022-S12;730398,00;12049,00;37663,00;1649,65;31,99;5156,50;0
55;2022-S09;181641,00;1457,00;4934,00;802,13;29,53;2716,35;0
55;2022-S10;181641,00;2037,00;6076,00;1121,44;33,53;3345,06;0
55;2022-S11;181641,00;2397,00;7154,00;1319,64;33,51;3938,54;0
55;2022-S12;181641,00;2657,00;7644,00;1462,78;34,76;4208,30;0
56;2022-S09;755566,00;4812,00;16208,00;636,87;29,69;2145,15;0
56;2022-S10;755566,00;5639,00;17407,00;746,33;32,40;2303,84;0
56;2022-S11;755566,00;7898,00;20463,00;1045,31;38,60;2708,30;0
56;2022-S12;755566,00;11129,00;26162,00;1472,94;42,54;3462,57;0
57;2022-S09;1035866,00;10203,00;38610,00;984,97;26,43;3727,32;0
57;2022-S10;1035866,00;12793,00;43820,00;1235,01;29,19;4230,28;0
57;2022-S11;1035866,00;15859,00;50976,00;1530,99;31,11;4921,10;0
57;2022-S12;1035866,00;18656,00;56527,00;1801,01;33,00;5456,98;0
58;2022-S09;199596,00;952,00;3688,00;476,96;25,81;1847,73;0
58;2022-S10;199596,00;984,00;3520,00;493,00;27,95;1763,56;0
58;2022-S11;199596,00;1650,00;4941,00;826,67;33,39;2475,50;0
58;2022-S12;199596,00;2464,00;6297,00;1234,49;39,13;3154,87;0
59;2022-S09;2588988,00;15581,00;76506,00;601,82;20,37;2955,05;0
59;2022-S10;2588988,00;22407,00;91597,00;865,47;24,46;3537,95;0
59;2022-S11;2588988,00;28504,00;107914,00;1100,97;26,41;4168,19;0
59;2022-S12;2588988,00;39036,00;132940,00;1507,77;29,36;5134,82;0
60;2022-S09;825077,00;3024,00;17808,00;366,51;16,98;2158,34;0
60;2022-S10;825077,00;3714,00;18685,00;450,14;19,88;2264,64;0
60;2022-S11;825077,00;5495,00;21923,00;666,00;25,07;2657,09;0
60;2022-S12;825077,00;8352,00;28995,00;1012,27;28,80;3514,22;0
61;2022-S09;276903,00;1753,00;6620,00;633,07;26,48;2390,73;0
61;2022-S10;276903,00;2226,00;7271,00;803,89;30,61;2625,83;0
61;2022-S11;276903,00;2935,00;8836,00;1059,94;33,22;3191,01;0
61;2022-S12;276903,00;4132,00;11126,00;1492,22;37,14;4018,01;0
62;2022-S09;1452778,00;10029,00;40941,00;690,33;24,50;2818,12;0
62;2022-S10;1452778,00;14329,00;49192,00;986,32;29,13;3386,06;0
62;2022-S11;1452778,00;18623,00;59618,00;1281,89;31,24;4103,72;0
62;2022-S12;1452778,00;25157,00;73054,00;1731,65;34,44;5028,57;0
63;2022-S09;660240,00;2961,00;13847,00;448,47;21,38;2097,27;0
63;2022-S10;660240,00;3594,00;14472,00;544,35;24,83;2191,93;0
63;2022-S11;660240,00;5615,00;18297,00;850,45;30,69;2771,26;0
63;2022-S12;660240,00;9155,00;25761,00;1386,62;35,54;3901,76;0
64;2022-S09;683169,00;5122,00;16616,00;749,74;30,83;2432,19;0
64;2022-S10;683169,00;5166,00;16418,00;756,18;31,47;2403,21;0
64;2022-S11;683169,00;5608,00;17802,00;820,88;31,50;2605,80;0
64;2022-S12;683169,00;6593,00;20645,00;965,06;31,94;3021,95;0
65;2022-S09;226839,00;1784,00;5885,00;786,46;30,31;2594,35;0
65;2022-S10;226839,00;1676,00;6182,00;738,85;27,11;2725,28;0
65;2022-S11;226839,00;2385,00;7698,00;1051,41;30,98;3393,60;0
65;2022-S12;226839,00;2598,00;7603,00;1145,31;34,17;3351,72;0
66;2022-S09;479000,00;2515,00;11783,00;525,05;21,34;2459,92;0
66;2022-S10;479000,00;2681,00;12242,00;559,71;21,90;2555,74;0
66;2022-S11;479000,00;4303,00;15422,00;898,33;27,90;3219,62;0
66;2022-S12;479000,00;6722,00;20983,00;1403,34;32,04;4380,58;0
67;2022-S09;1132607,00;8031,00;35658,00;709,07;22,52;3148,31;0
67;2022-S10;1132607,00;11555,00;43945,00;1020,21;26,29;3879,99;0
67;2022-S11;1132607,00;16238,00;55865,00;1433,68;29,07;4932,43;0
67;2022-S12;1132607,00;21277,00;68915,00;1878,59;30,87;6084,63;0
68;2022-S09;763204,00;4793,00;21003,00;628,01;22,82;2751,95;0
68;2022-S10;763204,00;6635,00;23832,00;869,36;27,84;3122,63;0
68;2022-S11;763204,00;9649,00;30834,00;1264,28;31,29;4040,07;0
68;2022-S12;763204,00;12529,00;37489,00;1641,63;33,42;4912,06;0
69;2022-S09;1876051,00;6287,00;45539,00;335,12;13,81;2427,39;0
69;2022-S10;1876051,00;7481,00;47508,00;398,76;15,75;2532,34;0
69;2022-S11;1876051,00;11127,00;54102,00;593,11;20,57;2883,82;0
69;2022-S12;1876051,00;18282,00;72403,00;974,49;25,25;3859,33;0
70;2022-S09;233194,00;1069,00;4909,00;458,42;21,78;2105,11;0
70;2022-S10;233194,00;1298,00;5100,00;556,62;25,45;2187,02;0
70;2022-S11;233194,00;1913,00;6577,00;820,35;29,09;2820,40;0
70;2022-S12;233194,00;3217,00;8968,00;1379,54;35,87;3845,73;0
71;2022-S09;547824,00;2070,00;9634,00;377,86;21,49;1758,59;0
71;2022-S10;547824,00;2584,00;10535,00;471,68;24,53;1923,06;0
71;2022-S11;547824,00;3675,00;12472,00;670,84;29,47;2276,64;0
71;2022-S12;547824,00;5674,00;15974,00;1035,73;35,52;2915,90;0
72;2022-S09;560227,00;2906,00;12501,00;518,72;23,25;2231,42;0
72;2022-S10;560227,00;3626,00;13224,00;647,24;27,42;2360,47;0
72;2022-S11;560227,00;4923,00;14966,00;878,75;32,89;2671,42;0
72;2022-S12;560227,00;7527,00;20121,00;1343,56;37,41;3591,58;0
73;2022-S09;432548,00;1480,00;8237,00;342,16;17,97;1904,30;0
73;2022-S10;432548,00;1592,00;8188,00;368,05;19,44;1892,97;0
73;2022-S11;432548,00;2441,00;9327,00;564,33;26,17;2156,29;0
73;2022-S12;432548,00;3808,00;11575,00;880,36;32,90;2676,00;0
74;2022-S09;828405,00;2805,00;14859,00;338,60;18,88;1793,69;0
74;2022-S10;828405,00;3398,00;15384,00;410,19;22,09;1857,06;0
74;2022-S11;828405,00;5431,00;18741,00;655,60;28,98;2262,30;0
74;2022-S12;828405,00;7892,00;23595,00;952,67;33,45;2848,24;0
75;2022-S09;2148271,00;9651,00;87750,00;449,25;11,00;4084,68;0
75;2022-S10;2148271,00;13186,00;98564,00;613,80;13,38;4588,06;0
75;2022-S11;2148271,00;20698,00;123277,00;963,47;16,79;5738,43;0
75;2022-S12;2148271,00;32861,00;166412,00;1529,65;19,75;7746,32;0
76;2022-S09;1243788,00;6495,00;36871,00;522,20;17,62;2964,41;0
76;2022-S10;1243788,00;8860,00;41934,00;712,34;21,13;3371,47;0
76;2022-S11;1243788,00;13173,00;50718,00;1059,10;25,97;4077,70;0
76;2022-S12;1243788,00;20201,00;65069,00;1624,15;31,05;5231,52;0
77;2022-S09;1423607,00;3466,00;25446,00;243,47;13,62;1787,43;0
77;2022-S10;1423607,00;4523,00;29195,00;317,71;15,49;2050,78;0
77;2022-S11;1423607,00;8155,00;35591,00;572,84;22,91;2500,06;0
77;2022-S12;1423607,00;16381,00;54715,00;1150,67;29,94;3843,41;0
78;2022-S09;1448625,00;4808,00;29637,00;331,90;16,22;2045,87;0
78;2022-S10;1448625,00;6577,00;33536,00;454,02;19,61;2315,02;0
78;2022-S11;1448625,00;11508,00;43655,00;794,41;26,36;3013,55;0
78;2022-S12;1448625,00;21191,00;67271,00;1462,84;31,50;4643,78;0
79;2022-S09;372627,00;2288,00;7549,00;614,02;30,31;2025,89;0
79;2022-S10;372627,00;3229,00;9195,00;866,55;35,12;2467,62;0
79;2022-S11;372627,00;4685,00;12067,00;1257,29;38,82;3238,36;0
79;2022-S12;372627,00;5503,00;13640,00;1476,81;40,34;3660,50;0
80;2022-S09;569769,00;3411,00;15382,00;598,66;22,18;2699,69;0
80;2022-S10;569769,00;4637,00;17906,00;813,84;25,90;3142,68;0
80;2022-S11;569769,00;6204,00;21345,00;1088,86;29,07;3746,26;0
80;2022-S12;569769,00;8239,00;27191,00;1446,02;30,30;4772,28;0
81;2022-S09;387898,00;2077,00;7537,00;535,45;27,56;1943,04;0
81;2022-S10;387898,00;2335,00;8190,00;601,96;28,51;2111,38;0
81;2022-S11;387898,00;3075,00;9292,00;792,73;33,09;2395,48;0
81;2022-S12;387898,00;4175,00;11840,00;1076,31;35,26;3052,35;0
82;2022-S09;262618,00;1676,00;5988,00;638,19;27,99;2280,12;0
82;2022-S10;262618,00;1982,00;6433,00;754,71;30,81;2449,57;0
82;2022-S11;262618,00;2600,00;7482,00;990,03;34,75;2849,01;0
82;2022-S12;262618,00;3443,00;9184,00;1311,03;37,49;3497,09;0
83;2022-S09;1073836,00;6145,00;33051,00;572,25;18,59;3077,84;0
83;2022-S10;1073836,00;7414,00;35203,00;690,42;21,06;3278,25;0
83;2022-S11;1073836,00;9485,00;39210,00;883,28;24,19;3651,40;0
83;2022-S12;1073836,00;12484,00;46146,00;1162,56;27,05;4297,30;0
84;2022-S09;560997,00;3079,00;14538,00;548,84;21,18;2591,46;0
84;2022-S10;560997,00;3332,00;15241,00;593,94;21,86;2716,77;0
84;2022-S11;560997,00;4477,00;17469,00;798,04;25,63;3113,92;0
84;2022-S12;560997,00;6011,00;20858,00;1071,49;28,82;3718,02;0
85;2022-S09;683187,00;3921,00;14150,00;573,93;27,71;2071,18;0
85;2022-S10;683187,00;4968,00;15724,00;727,18;31,60;2301,57;0
85;2022-S11;683187,00;6953,00;19685,00;1017,73;35,32;2881,35;0
85;2022-S12;683187,00;10367,00;25397,00;1517,45;40,82;3717,43;0
86;2022-S09;437398,00;2707,00;9433,00;618,89;28,70;2156,62;0
86;2022-S10;437398,00;3386,00;10714,00;774,12;31,60;2449,49;0
86;2022-S11;437398,00;4625,00;13245,00;1057,39;34,92;3028,13;0
86;2022-S12;437398,00;6392,00;16543,00;1461,37;38,64;3782,14;0
87;2022-S09;370774,00;2514,00;8188,00;678,04;30,70;2208,35;0
87;2022-S10;370774,00;2915,00;8708,00;786,19;33,47;2348,60;0
87;2022-S11;370774,00;3559,00;10168,00;959,88;35,00;2742,37;0
87;2022-S12;370774,00;3797,00;10709,00;1024,07;35,46;2888,28;0
88;2022-S09;359520,00;2325,00;9747,00;646,70;23,85;2711,11;0
88;2022-S10;359520,00;2830,00;10992,00;787,16;25,75;3057,41;0
88;2022-S11;359520,00;3938,00;13581,00;1095,35;29,00;3777,54;0
88;2022-S12;359520,00;5105,00;15542,00;1419,95;32,85;4322,99;0
89;2022-S09;332096,00;1316,00;6205,00;396,27;21,21;1868,44;0
89;2022-S10;332096,00;1478,00;6585,00;445,05;22,44;1982,86;0
89;2022-S11;332096,00;2095,00;7708,00;630,84;27,18;2321,02;0
89;2022-S12;332096,00;3277,00;10427,00;986,76;31,43;3139,75;0
90;2022-S09;140145,00;624,00;3008,00;445,25;20,74;2146,35;0
90;2022-S10;140145,00;724,00;3232,00;516,61;22,40;2306,18;0
90;2022-S11;140145,00;1133,00;4114,00;808,45;27,54;2935,53;0
90;2022-S12;140145,00;1955,00;5804,00;1394,98;33,68;4141,42;0
91;2022-S09;1319401,00;3467,00;24914,00;262,77;13,92;1888,28;0
91;2022-S10;1319401,00;4572,00;26886,00;346,52;17,01;2037,74;0
91;2022-S11;1319401,00;8023,00;33358,00;608,08;24,05;2528,27;0
91;2022-S12;1319401,00;16177,00;52830,00;1226,09;30,62;4004,09;0
92;2022-S09;1613762,00;5739,00;45383,00;355,63;12,65;2812,25;0
92;2022-S10;1613762,00;8266,00;51185,00;512,22;16,15;3171,78;0
92;2022-S11;1613762,00;14419,00;67146,00;893,50;21,47;4160,84;0
92;2022-S12;1613762,00;25065,00;99726,00;1553,20;25,13;6179,72;0
93;2022-S09;1670149,00;3536,00;39316,00;211,72;8,99;2354,04;0
93;2022-S10;1670149,00;4218,00;48833,00;252,55;8,64;2923,87;0
93;2022-S11;1670149,00;6475,00;51763,00;387,69;12,51;3099,30;0
93;2022-S12;1670149,00;11371,00;67073,00;680,84;16,95;4015,99;0
94;2022-S09;1406041,00;4009,00;34598,00;285,13;11,59;2460,67;0
94;2022-S10;1406041,00;5601,00;40430,00;398,35;13,85;2875,45;0
94;2022-S11;1406041,00;9133,00;50779,00;649,55;17,99;3611,49;0
94;2022-S12;1406041,00;16314,00;68929,00;1160,28;23,67;4902,35;0
95;2022-S09;1248354,00;3018,00;26236,00;241,76;11,50;2101,65;0
95;2022-S10;1248354,00;4100,00;28327,00;328,43;14,47;2269,15;0
95;2022-S11;1248354,00;6679,00;34279,00;535,02;19,48;2745,94;0
95;2022-S12;1248354,00;12845,00;50272,00;1028,95;25,55;4027,06;0
971;2022-S09;376879,00;2122,00;16901,00;563,05;12,56;4484,46;0
971;2022-S10;376879,00;4036,00;21780,00;1070,90;18,53;5779,04;0
971;2022-S11;376879,00;3655,00;21652,00;969,81;16,88;5745,08;0
971;2022-S12;376879,00;3563,00;21433,00;945,40;16,62;5686,97;0
972;2022-S09;358749,00;7503,00;31137,00;2091,43;24,10;8679,33;0
972;2022-S10;358749,00;11500,00;39293,00;3205,58;29,27;10952,78;0
972;2022-S11;358749,00;6059,00;30718,00;1688,92;19,72;8562,53;0
972;2022-S12;358749,00;3843,00;25709,00;1071,22;14,95;7166,29;0
973;2022-S09;290691,00;160,00;5252,00;55,04;3,05;1806,73;0
973;2022-S10;290691,00;278,00;4107,00;95,63;6,77;1412,84;0
973;2022-S11;290691,00;311,00;3443,00;106,99;9,03;1184,42;0
973;2022-S12;290691,00;416,00;3722,00;143,11;11,18;1280,40;0
974;2022-S09;859959,00;8261,00;26166,00;960,63;31,57;3042,70;0
974;2022-S10;859959,00;8969,00;29125,00;1042,96;30,79;3386,79;0
974;2022-S11;859959,00;9553,00;26289,00;1110,87;36,34;3057,01;0
974;2022-S12;859959,00;11580,00;30819,00;1346,58;37,57;3583,78;0
976;2022-S09;279471,00;55,00;3406,00;19,68;1,61;1218,73;0
976;2022-S10;279471,00;42,00;2682,00;15,03;1,57;959,67;0
976;2022-S11;279471,00;46,00;2773,00;16,46;1,66;992,23;0
976;2022-S12;279471,00;35,00;2403,00;12,52;1,46;859,84;0
978;2022-S09;35334,00;37,00;1614,00;104,72;2,29;4567,84;0
978;2022-S10;35334,00;32,00;1816,00;90,56;1,76;5139,53;0
978;2022-S11;35334,00;49,00;1752,00;138,68;2,80;4958,40;0
978;2022-S12;35334,00;81,00;1717,00;229,24;4,72;4859,34;0
975;2022-S09;5997,00;0,00;81,00;0,00;0,00;1350,68;0
975;2022-S10;5997,00;27,00;93,00;450,23;29,03;1550,78;0
975;2022-S11;5997,00;93,00;226,00;1550,78;41,15;3768,55;0
975;2022-S12;5997,00;65,00;218,00;1083,88;29,82;3635,15;0
977;2022-S09;9961,00;37,00;1131,00;371,45;3,27;11354,28;0
977;2022-S10;9961,00;43,00;982,00;431,68;4,38;9858,45;0
977;2022-S11;9961,00;79,00;1371,00;793,09;5,76;13763,68;0
977;2022-S12;9961,00;188,00;1505,00;1887,36;12,49;15108,92;0
