dep;semaine;pop;P;T;Ti;Tp;Td;cl_age90
12;2020-S30;278360,00;5,00;1402,00;1,80;0,36;503,66;0
13;2020-S27;2034469,00;93,00;15799,00;4,57;0,59;776,57;0
13;2020-S28;2034469,00;183,00;18005,00;8,99;1,02;885,00;0
13;2020-S29;2034469,00;156,00;20177,00;7,67;0,77;991,76;0
13;2020-S30;2034469,00;231,00;24396,00;11,35;0,95;1199,13;0
14;2020-S27;691453,00;11,00;5729,00;1,59;0,19;828,55;0
14;2020-S28;691453,00;19,00;5783,00;2,75;0,33;836,35;0
14;2020-S29;691453,00;33,00;6447,00;4,77;0,51;932,38;0
14;2020-S30;691453,00;37,00;6315,00;5,35;0,59;913,29;0
15;2020-S27;142811,00;0,00;431,00;0,00;0,00;301,80;0
15;2020-S28;142811,00;1,00;683,00;0,70;0,15;478,25;0
15;2020-S29;142811,00;1,00;633,00;0,70;0,16;443,24;0
15;2020-S30;142811,00;0,00;724,00;0,00;0,00;506,96;0
16;2020-S27;348180,00;2,00;429,00;0,57;0,47;123,21;0
16;2020-S28;348180,00;1,00;449,00;0,29;0,22;128,96;0
16;2020-S29;348180,00;4,00;557,00;1,15;0,72;159,97;0
16;2020-S30;348180,00;10,00;887,00;2,87;1,13;254,75;0
17;2020-S27;647080,00;1,00;1130,00;0,15;0,09;174,63;0
17;2020-S28;647080,00;4,00;1192,00;0,62;0,34;184,21;0
17;2020-S29;647080,00;2,00;1436,00;0,31;0,14;221,92;0
17;2020-S30;647080,00;5,00;1757,00;0,77;0,28;271,53;0
18;2020-S27;296404,00;6,00;1142,00;2,02;0,53;385,28;0
18;2020-S28;296404,00;5,00;1106,00;1,69;0,45;373,14;0
18;2020-S29;296404,00;2,00;1111,00;0,67;0,18;374,83;0
18;2020-S30;296404,00;4,00;1353,00;1,35;0,30;456,47;0
19;2020-S27;240336,00;5,00;865,00;2,08;0,58;359,91;0
19;2020-S28;240336,00;1,00;1029,00;0,42;0,10;428,15;0
19;2020-S29;240336,00;2,00;1112,00;0,83;0,18;462,69;0
19;2020-S30;240336,00;2,00;1261,00;0,83;0,16;524,68;0
21;2020-S27;532886,00;8,00;2198,00;1,50;0,36;412,47;0
21;2020-S28;532886,00;18,00;2370,00;3,38;0,76;444,75;0
21;2020-S29;532886,00;14,00;3264,00;2,63;0,43;612,51;0
21;2020-S30;532886,00;20,00;4121,00;3,75;0,49;773,34;0
22;2020-S27;596186,00;3,00;2313,00;0,50;0,13;387,97;0
22;2020-S28;596186,00;13,00;2478,00;2,18;0,52;415,64;0
22;2020-S29;596186,00;45,00;3923,00;7,55;1,15;658,02;0
22;2020-S30;596186,00;20,00;6186,00;3,35;0,32;1037,60;0
23;2020-S27;116270,00;1,00;284,00;0,86;0,35;244,26;0
23;2020-S28;116270,00;0,00;320,00;0,00;0,00;275,22;0
23;2020-S29;116270,00;0,00;368,00;0,00;0,00;316,50;0
23;2020-S30;116270,00;0,00;440,00;0,00;0,00;378,43;0
24;2020-S27;408393,00;1,00;972,00;0,24;0,10;238,01;0
24;2020-S28;408393,00;8,00;1101,00;1,96;0,73;269,59;0
24;2020-S29;408393,00;2,00;1277,00;0,49;0,16;312,69;0
24;2020-S30;408393,00;6,00;1637,00;1,47;0,37;400,84;0
25;2020-S27;539449,00;18,00;2379,00;3,34;0,76;441,01;0
25;2020-S28;539449,00;26,00;2944,00;4,82;0,88;545,74;0
25;2020-S29;539449,00;15,00;3101,00;2,78;0,48;574,85;0
25;2020-S30;539449,00;30,00;3694,00;5,56;0,81;684,77;0
26;2020-S27;520560,00;6,00;1597,00;1,15;0,38;306,79;0
26;2020-S28;520560,00;40,00;2047,00;7,68;1,95;393,23;0
